loss,accuracy,val_loss,val_accuracy
0.3932790160179138,0.8956930041313171,0.1895821988582611,0.9631496667861938
0.14231427013874054,0.9729236364364624,0.11055535823106766,0.9747957587242126
0.09743176400661469,0.9749663472175598,0.08546532690525055,0.9761863350868225
0.08168907463550568,0.9758355617523193,0.07382971048355103,0.9768816232681274
0.07220692187547684,0.9765743613243103,0.06666632741689682,0.9774031043052673
0.06665308773517609,0.9773566722869873,0.06222439929842949,0.9784460067749023
0.06149635463953018,0.9791386127471924,0.058818262070417404,0.980879545211792
0.05863167718052864,0.9808770418167114,0.056246522814035416,0.9815748333930969
0.05669393762946129,0.9822243452072144,0.05500980466604233,0.981053352355957
0.054627638310194016,0.9825720191001892,0.053561992943286896,0.9841821789741516
