loss,accuracy,val_loss,val_accuracy
0.23268814384937286,0.9435913562774658,0.08300311863422394,0.9786227941513062
0.06486152857542038,0.9816648364067078,0.058553144335746765,0.9825325012207031
0.04759370535612106,0.9848021268844604,0.04470478743314743,0.9844242930412292
0.03684607893228531,0.9867885708808899,0.0364379808306694,0.9861268997192383
0.030125049874186516,0.9891218543052673,0.02915123663842678,0.9896582365036011
0.0256724264472723,0.9910767674446106,0.026553645730018616,0.9890276193618774
0.022092526778578758,0.9920069575309753,0.020305229350924492,0.9923067092895508
0.018727172166109085,0.9935204386711121,0.017978543415665627,0.9936309456825256
0.016293060034513474,0.9945766925811768,0.016713431105017662,0.9932526350021362
0.014668704010546207,0.9955856800079346,0.013992620632052422,0.9955857992172241
