loss,accuracy,val_loss,val_accuracy
0.2432267963886261,0.9031464457511902,0.09009942412376404,0.9715506434440613
0.06343017518520355,0.9799362421035767,0.04893578961491585,0.983829140663147
0.04009440913796425,0.9858461618423462,0.03574873507022858,0.9855695962905884
0.031208287924528122,0.9873256683349609,0.029356496408581734,0.9876582026481628
0.026672877371311188,0.9891374111175537,0.02551945485174656,0.9893037676811218
0.02367718517780304,0.990798830986023,0.023651456460356712,0.9951266050338745
0.021634595468640327,0.991771936416626,0.021780388429760933,0.9941139221191406
0.01990920677781105,0.9923099279403687,0.019061261788010597,0.9924050569534302
0.018507856875658035,0.9930219650268555,0.01801619492471218,0.9920253157615662
0.017290866002440453,0.9936074614524841,0.016246488317847252,0.9940506219863892
